a+,ah_ai_ac_ad_af
appreciable,observable_discernible_noticeable_perceptible_definite
appreciate,enjoy_welcome_acknowledge_be appreciative_be indebted
appreciated,enjoy_welcome_acknowledge_be appreciative_be indebted
appreciates,enjoy_welcome_acknowledge_be appreciative_be indebted
appreciative,responsive_grateful_beholden_indebted_obliged
appreciatively,warmly_passionately_respectfully_zealously_earnestly
appropriate,relevant_useful_convenient_applicable_apt
approval,sanction_confirmation_license_permission_mandate
approve,favor_accept_admire_acclaim_handle
ardent,avid_zealous_impassioned_vehement_intense
ardently,vigorously_nimbly_eagerly_hastily_carefully
ardor,eagerness_zeal_earnestness_intensity_passion
articulate,fluent_expressive_coherent_eloquent_clear
aspiration,desire_longing_eagerness_wish_aim
aspirations,desire_longing_eagerness_wish_aim
aspire,pursue_crave_yearn_strive_desire
assurance,word_pledge_support_assertion_affirmation
assurances,word_pledge_support_assertion_affirmation
assure,satisfy_encourage_persuade_reassure_sell
assuredly,undoubtedly_absolutely_certainly_definitely_of course
assuring,satisfy_encourage_persuade_reassure_sell
astonish,dumbfound_bewilder_overwhelm_flabbergast_shock
astonished,dumbfound_bewilder_overwhelm_flabbergast_shock
astonishing,startling_breathtaking_impressive_spectacular_striking
astonishingly,decidedly_particularly_absolutely_awfully_profoundly
astonishment,bewilderment_consternation_confusion_amazement_awe
astound,dumbfound_bewilder_overwhelm_stun_shock
astounded,dumbfound_bewilder_overwhelm_stun_shock
astounding,startling_breathtaking_surprising_astonishing_mind-boggling
astoundingly,astonishingly_ostending_unstintingly_outstandingly_un stintingly
astutely,intelligently_shrewdly_wittily_sensibly
attentive,watchful_observant_aware_interested_conscientious
attraction,attractiveness_allure_appeal_interest_enthrallment
attractive,beautiful_alluring_glamorous_lovely_inviting
attractively,handsomely_gracefully_splendidly_wonderfully_magnificently
attune,accommodate_accustom_adapt_conform_accord
audible,resounding_discernible_distinct_perceptible_detectable
audibly,loudly_clearly_distinctly_plainly_intelligibly
auspicious,promising_opportune_advantageous_propitious_felicitous
authentic,credible_authoritative_accurate_convincing_trustworthy
authoritative,definitive_truthful_accurate_scholarly_trustworthy
autonomous,self-governing_sovereign_free_uncontrolled_self-determining
available,accessible_usable_convenient_vacant_possible
aver,contend_claim_predicate_affirm_verify
avid,devoted_impatient_thirsty_fanatical_eager
avidly,passionately_violently_excitedly_madly_overzealously
award,trophy_gold_gift_grant_presentation
awarded,reward_grant_distribute_confer_hand out
awards,trophy_gold_gift_grant_presentation
awe,admiration_dread_apprehension_horror_shock
awed,dazzle_intimidate_frighten_alarm_stupefy
awesome,beautiful_breathtaking_intimidating_imposing_magnificent
awesomely,are seemly_am seemly_unseemly_was seemly_art seemly
awesomeness,awesome_as means_ways means_ways-means_examinees
awestruck,stunned_agog_shocked_anxious_afraid
awsome,assume_some_athome_as one_ism
backbone,determination_heart_spunk_resolve_grit
balanced,equitable_fair_uniform_offset_equivalent
bargain,pact_negotiation_transaction_deal_contract
beauteous,attractive_bonny_comely_good-looking_gorgeous
beautiful,alluring_cute_fascinating_magnificent_marvelous
beautifullly,beautiful_beatifically_beautify_bountifully_dutifully
beautifully,handsomely_gracefully_splendidly_wonderfully_magnificently
beautify,bedeck_decorate_adorn_trim_deck
beauty,style_delicacy_artistry_elegance_refinement
beckon,attract_invite_entice_tempt_pull
beckoned,attract_invite_entice_tempt_pull
beckoning,attract_invite_entice_tempt_pull
beckons,attract_invite_entice_tempt_pull
believable,credible_satisfying_persuasive_convincing_plausible
believeable,credible_trustworthy_satisfactory_satisfying_impressive
beloved,loved_dear_favorite_respected_popular
benefactor,patron_promoter_philanthropist_backer_contributor
beneficent,altruistic_benevolent_benign_big-hearted_charitable
beneficial,profitable_good_useful_helpful_valuable
beneficially,kindly_effectively_profitably_advantageously_constructively
beneficiary,heir_recipient_possessor_receiver_successor
benefit,prosperity_use_help_profit_assistance
benefits,prosperity_use_help_profit_assistance
benevolence,compassion_generosity_altruism_kindness_gift
benevolent,generous_philanthropic_compassionate_benign_humane
benifits,be fits_be-fits_benefit_benets_snifts
best,perfect_finest_tough_outstanding_leading
best-known,burst in on_be made known_be stuck on_bursts in on_be taken in

best-selling,hit_number one_smash_chart-topping_very popular
better,superior_improved_exceptional_sophisticated_preferred
better-known,be tokening_be-tokening_be keen on_bedgown_butting on

beutifully,beautiful_bountifully_dutifully
blameless,above suspicion_clean_clear_exemplary_faultless
bless,anoint_consecrate_baptize_ordain_thank
blessing,dedication_grace_commendation_thanksgiving_consecration
bliss,joy_paradise_happiness_euphoria_heaven
blissful,heavenly_enchanted_dreamy_joyous_beatific
blissfully,willingly_warmly_cordially_freely_heartily
blithe,sprightly_jaunty_jovial_carefree_lighthearted
blockbuster,ash can_depth bomb
bloom,blossom_flower_blossoming_opening_efflorescence
blossom,bloom_efflorescence_spike_floret_posy
bolster,help_buttress_strengthen_support_cushion
bonny,blithe_buxom_cheerful_chubby_comely
bonus,premium_prize_gift_perk_gratuity
bonuses,premium_prize_gift_perk_gratuity
boom,explosion_smash_wham_burst_roar
booming,growing_thriving_roaring_prosperous_profitable
boost,breakthrough_upgrade_advance_addition_hike
boundless,untold_tremendous_inexhaustible_limitless_unlimited
bountiful,plentiful_lavish_magnanimous_ample_copious
brainiest,brilliant_bright_clever_intellectual_sapient
brainy,brilliant_bright_clever_intellectual_sapient
brand-new,fresh_pristine_spick-and-span_unused_brand spanking new
brave,gallant_foolhardy_daring_confident_fearless
bravery,fearlessness_spunk_grit_daring_mettle
bravo,devotion_glory_acclaim_applause_plaudit
breakthrough,development_hike_improvement_leap_gain
breakthroughs,development_hike_improvement_leap_gain
breathlessness,ruthlessness_brainlessness_truthlessness_breathless
breathtaking,exciting_thrilling_impressive_magnificent_amazing

breeze,current_gust_whiff_breath_air
bright,golden_glistening_vivid_brilliant_shimmering
brighten,enliven_lighten_illuminate_clear up_illumine
brighter,golden_glistening_vivid_brilliant_shimmering
brightest,golden_glistening_vivid_brilliant_shimmering
brilliance,talent_intelligence_wisdom_excellence_inventiveness
brilliances,talent_intelligence_wisdom_excellence_inventiveness
brilliant,vivid_radiant_dazzling_sparkling_bright
brilliantly,brightly_blazingly_radiantly_shiningly
brisk,vigorous_energetic_spry_speedy_lively
brotherly,affectionate_cordial_neighborly_fraternal_selfless
bullish,vigorous_energetic_convincing_vehement_persuasive
buoyant,resilient_bouncy_afloat_airy_floating
cajole,wheedle_entice_seduce_tantalize_dupe
calm,serene_slow_smooth_soothing_mild
calming,sedative_ataractic
calmness,tranquility_calm_composure_patience_peace
capability,wherewithal_capacity_power_facility_means
capable,experienced_suited_talented_efficient_gifted
capably,competently_adroitly
captivate,grip_gratify_dazzle_bewitch_fascinate
captivating,grip_gratify_dazzle_bewitch_fascinate
carefree,cheerful_breezy_happy-go-lucky_jovial_cheery
cashback,cast back_cashable_call back_came back_hatchback
cashbacks,cashboxes_call backs_hatchbacks_gasbags_come backs
catchy,haunting_memorable_fetching_popular_having a good hook
celebrate,perform_laud_proclaim_observe_praise
celebrated,acclaimed_big_eminent_famed_glorious
celebration,festivity_ceremony_observance_festival_triumph
celebratory,memorial_observing_commemoratory_dedicatory_in memory
champ,chomp_gnaw_gnash_bite_munch
champion,unbeaten_undefeated_super_prime_superior
charisma,glamour_magnetism_allure_pizzazz_dazzle
charismatic,appealing_alluring_hypnotic_larger than life_magnetic
charitable,altruistic_humanitarian_philanthropic_accommodating_benign
charm,magic_beauty_glamour_charisma_appeal
charming,alluring_pleasant_glamorous_likable_amiable
charmingly,appropriately_cheerfully_favorably_happily_kindly
chaste,subdued_platonic_virginal_celibate_unblemished
cheaper,low-cost_reasonable_low-priced_competitive_economical
cheapest,low-cost_reasonable_low-priced_competitive_economical
cheer,delight_joy_glee_encouragement_optimism
cheerful,peppy_bright_effervescent_buoyant_sanguine
cheery,pleasant_bright_lively_happy_sprightly
cherish,preserve_love_defend_harbor_treasure
cherished,preserve_love_defend_harbor_treasure
cherub,baby_seraph_beautiful infant
chic,exclusive_swank_modern_elegant_trendy
chivalrous,benevolent_big_bold_brave_considerate
chivalry,courtesy_courage_fairness_valiance_courtliness
civility,decorum_propriety_courtesy_respect_amenity
civilize,ennoble_acquaint_sophisticate_tame_humanize
clarity,simplicity_brightness_certainty_precision_purity
classic,simple_usual_typical_vintage_representative
classy,elegant_fashionable_high-class_posh_chic
clean,hygienic_unblemished_simple_clear_tidy
cleaner,cleanser_soap_disinfectant_cleaning agent
cleanest,hygienic_unblemished_simple_clear_tidy
cleanliness,freshness_purity_sanitation_neatness_tidiness
cleanly,clean_spotless_tidy
clear,sunny_fair_light_clarion_crystal
clear-cut,unambiguous_precise_definitive_straightforward_categorical
cleared,unloaded_empty_cleaned_cleared away
clearer,sunny_fair_light_clarion_crystal
clearly,certainly_plainly_undoubtedly_obviously_openly
clears,sunny_fair_light_clarion_crystal
clever,adept_adroit_alert_astute_brainy
cleverly,intelligently_shrewdly_wittily_astutely_sensibly
cohere,consolidate_cleave_glue_join_associate
coherence,continuity_unity_rationality_consistency_integrity
coherent,rational_intelligible_lucid_logical_orderly
cohesive,united_close-knit_tenacious_adhesive_connected
colorful,gaudy_vivid_splashy_vibrant_multicolored
comely,good-looking_winsome_attractive_becoming_blooming
comfort,amenity_contentment_enjoyment_satisfaction_convenience
comfortable,complacent_enjoyable_serene_satisfying_useful
comfortably,easily_adequately_well_agreeably_amply
comforting,soothing_encouraging_refreshing_freeing_softening
comfy,snug_soft_homey
commend,applaud_hail_laud_endorse_approve
commendable,exemplary_meritorious_excellent_admirable_creditable
commendably,strongly_closely_smoothly_nicely_fully
commitment,pledge_engagement_responsibility_need_promise
commodious,convenient_big_capacious_comfortable_expansive
compact,solid_tight_firm_crowded_pressed
compactly,compactor_compacted_compactors_completely
compassion,mercy_empathy_tenderness_sorrow_benevolence
compassionate,sympathetic_benevolent_charitable_warm_merciful
compatible,adaptable_consistent_suitable_appropriate_accordant
competitive,aggressive_ambitious_cutthroat_antagonistic_combative
complement,accompaniment_consummation_rest_supplement_enhancement
complementary,integral_reciprocal_equivalent_correspondent_parallel
complemented,integrate_achieve_perfect_finish_conclude
complements,accompaniment_consummation_rest_supplement_enhancement
compliant,docile_flexible_willing_easy_manageable
compliment,admiration_applause_commendation_homage_ovation
complimentary,appreciative_congratulatory_respectful_polite_courtly
comprehensive,full_complete_broad_global_overall
conciliate,pacify_satisfy_appease_win over
conciliatory,calm_civil_disarming_pacific_peaceable
concise,terse_pithy_succinct_brief_compact
confidence,certainty_poise_morale_courage_determination
confident,self-assured_sure_bold_positive_sanguine
congenial,sympathetic_cordial_genial_harmonious_pleasant
congratulate,applaud_laud_praise_salute_felicitate
congratulation,applause_commendation_salute_adulation_praise
congratulations,hail_compliments_felicitations_greetings_best wishes
congratulatory,complimentary_flattering_laudatory_celebratory
conscientious,meticulous_fastidious_painstaking_diligent_fussy
considerate,sympathetic_generous_accommodating_amiable_mindful
consistent,steady_persistent_logical_dependable_rational
consistently,regularly_routinely_always_constantly_normally
constructive,productive_useful_effective_positive_valuable
consummate,superlative_gifted_polished_talented_skilled
contentment,complacency_satisfaction_fulfillment_pleasure_gratification
continuity,stability_constancy_continuum_durability_survival
contrasty,contrasts_contras_contrasted_contract_contralto
contribution,grant_addition_improvement_increase_donation
convenience,amenity_advantage_service_facility_enjoyment
convenient,available_timely_beneficial_good_helpful
conveniently,regularly_handily_smoothly_freely_well
convience,convincer_connivance_conscience_convenes_convinced
convienient,conveniently_convenience_confinement_continent_contingent
convient,convened_convenient_confident_confined_convene
convincing,credible_trustworthy_satisfactory_satisfying_impressive
convincingly,certainly_definitely_permanently_completely_lastly
cool,chilly_refreshing_frosty_frigid_arctic
coolest,chilly_refreshing_frosty_frigid_arctic
cooperative,united_concerted_reciprocal_harmonious_collective
cooperatively,simultaneously_mutually_together_accordingly_agreeably
cornerstone,mainstay_foundation_pillar_keystone_essential
correct,precise_perfect_strict_appropriate_legitimate
correctly,justly_perfectly_rightly_nicely_accurately
cost-effective,practical_profitable_worthwhile
cost-saving,most serving
counter-attack,retribution_revenge_reprisal_counterblow_counteraction
counter-attacks,retribution_revenge_reprisal_counterblow_counteraction
courage,fearlessness_spunk_grit_daring_endurance
courageous,tenacious_gallant_tough_daring_resolute
courageously,boldly_eagerly_enthusiastically_fearlessly_dauntlessly
courageousness,fearlessness_heart_valiancy_boldness_daring
courteous,respectful_civilized_civil_soft-spoken_polite
courtly,gallant_aristocratic_stately_polite_elegant
covenant,compact_convention_stipulation_agreement_transaction
cozy,snug_cushy_comfortable_comfy_intimate
creative,ingenious_inventive_gifted_visionary_productive
credence,faith_confidence_belief_admission_dependence
credible,trustworthy_satisfactory_satisfying_reasonable_solid
crisp,crusty_fresh_crumbly_plump_firm
crisper,crusty_fresh_crumbly_plump_firm
cure,medication_recovery_fix_drug_quick fix
cure-all,magic bullet_elixir_nostrum_catholicon_magic potion
cushy,comfy_agreeable_easy_pleasant_plum
cute,beautiful_charming_pleasant_delightful_pretty
cuteness,acuteness_muteness_quietness_crudeness_cutins
danke,thanks_gracias_merci_much obliged
danken,danking_darken_danked_dankes_dank
daring,foolhardy_bold_fearless_audacious_impulsive
daringly,severely_desperately_seriously_recklessly_carelessly
darling,baby_lamb_love_sweetie_angel
dashing,fearless_debonair_stylish_dapper_plucky
dauntless,brave_daring_doughty_fearless_gallant
dawn,daylight_daybreak_dawning_morning_light
dazzle,blind_fascinate_overwhelm_impress_excite
dazzled,blind_fascinate_overwhelm_impress_excite
dazzling,sensational_splendid_brilliant_bright_sparkling
dead-cheap,lead ship_detached_de taches_de-taches_detach
dead-on,precise_accurate_definite_direct_exact
decency,dignity_modesty_honesty_good manners_decorum
decent,noble_good_polite_honest_trustworthy
decisive,definitive_influential_resolute_forceful_crucial
decisiveness,firmness_willpower_resoluteness_resolve_determination
dedicated,devoted_zealous_enthusiastic_faithful_committed
defeat,blow_loss_massacre_collapse_embarrassment
defeated,overcome_conquered_crushed
defeating,crush_beat_rout_upset_overpower
defeats,blow_loss_massacre_collapse_embarrassment
defender,protector_supporter_sponsor_guardian
deference,yielding_obeisance_submission_condescension_acquiescence
deft,ingenious_proficient_nimble_skillful_adroit
deginified,signified_disunified_magnified_dis unified_dis-unified
delectable,enticing_satisfying_yummy_palatable_heavenly
delicacy,tenderness_subtlety_lightness_elegance_fragility
delicate,rare_gentle_fragile_mild_elegant
delicious,enjoyable_yummy_tempting_enticing_delectable
delight,satisfaction_joy_glee_contentment_pleasure
delighted,elated_overjoyed_ecstatic_charmed_pleased
delightful,beautiful_enjoyable_satisfying_alluring_refreshing
delightfully,handsomely_gracefully_splendidly_wonderfully_magnificently
delightfulness,etiquette_amiability_gentility_suavity_agreeableness
dependable,sturdy_steady_trustworthy_loyal_staunch
dependably,warily_delicately_thoroughly_laboriously_gingerly
deservedly,appropriately_correctly_suitably_on time_rightfully
deserving,commendable_fitting_admirable_due_estimable
desirable,beautiful_enticing_fascinating_adorable_alluring
desiring,desirous_needing
desirous,wishful_acquisitive_ambitious_amorous_anxious
destiny,prospect_circumstance_intention_future_objective
detachable,mobile_ambulatory_portable_adaptable_adjustable
devout,faithful_zealous_sincere_fervent_ardent
dexterous,able_active_acute_adept_adroit
dexterously,regularly_handily_smoothly_freely_well
dextrous,glib_sly_deft_skillful_smooth
dignified,noble_stately_solemn_magnificent_somber
dignify,exalt_magnify_advance_ennoble_raise
dignity,status_self-respect_respectability_decorum_greatness
diligence,vigor_quickness_intensity_earnestness_alertness
diligent,industrious_attentive_earnest_indefatigable_persistent
diligently,vigorously_nimbly_eagerly_hastily_carefully
diplomatic,gracious_polite_conciliatory_strategic_adept
dirt-cheap,reasonable_low-cost_cheap_low-priced_modest
distinction,division_perception_quality_characteristic_sensitivity
distinctive,singular_peculiar_offbeat_extraordinary_special
distinguished,notable_noble_renowned_venerable_honored
diversified,diverse_varied_mixed_manifold_variegated
divine,mystical_spiritual_celestial_angelic_holy
divinely,handsomely_gracefully_splendidly_wonderfully_magnificently
dominate,control_run_lead_overshadow_manage
dominated,control_run_lead_overshadow_manage
dominates,control_run_lead_overshadow_manage
dote,fawn_cherish_praise_nurture_flatter
dotingly,warmly_passionately_respectfully_zealously_earnestly
doubtless,presumably_absolutely_unquestionably_surely_undoubtedly
dreamland,slumber_utopia_Shangri-la_seventh heaven_never-never land
dumbfounded,stunned_stumped_overwhelmed_confounded_shocked
dumbfounding,bewilder_stun_nonplus_boggle_confound
dummy-proof,dis prove_dis-prove_improv_improve_disimprove
durable,tenacious_reliable_permanent_dependable_enduring
dynamic,productive_vigorous_energetic_effective_influential
eager,restless_thirsty_hungry_greedy_impatient
eagerly,willingly_cordially_vigorously_sincerely_promptly
eagerness,longing_impatience_hunger_zeal_ardor
earnest,diligent_impassioned_sincere_fervent_urgent
earnestly,sincerely_seriously_soberly_thoughtfully
earnestness,devotion_solemnity_zeal_ardor_intensity
ease,content_calm_comfort_satisfaction_calmness
eased,mitigate_moderate_relax_speed_relieve
eases,content_calm_comfort_satisfaction_calmness
easier,accessible_straightforward_simple_clear_smooth
easiest,accessible_straightforward_simple_clear_smooth
easiness,nonchalance_ease_indifference_ability_facility
easing,mitigate_moderate_relax_speed_relieve
easy,accessible_straightforward_simple_clear_smooth
easy-to-use,acetose_acetous_easy to use_easy use_easy course
easygoing,happy-go-lucky_serene_self-possessed_offhand_relaxed
ebullience,liveliness_elation_buoyancy_exuberance_gaiety
ebullient,brash_elated_buoyant_agitated_effusive
ebulliently,opulently_bluntly_obediently_turbulently_blindly
ecenomical,inimical_is economical
economical,efficient_cost-effective_prudent_practical_avaricious
ecstasies,rapture_elation_euphoria_happiness_joy
ecstasy,rapture_elation_euphoria_happiness_joy
ecstatic,elated_crazy_overjoyed_delirious_enthusiastic
ecstatically,willingly_warmly_cordially_freely_heartily
edify,uplift_enlighten_teach_educate_improve
educated,knowledgeable_literate_skilled_informed_accomplished
effective,useful_impressive_efficient_sufficient_powerful
effectively,finally_forcefully_completely_definitely_energetically
effectiveness,potency_success_efficacy_effect_validity
effectual,effective_efficacious_adequate_binding_capable
efficacious,effectual_effective_active_adequate_capable
efficient,profitable_productive_useful_energetic_able
efficiently,regularly_handily_smoothly_freely_well
effortless,uncomplicated_offhand_duck soup_facile_flowing
effortlessly,regularly_handily_smoothly_freely_well
effusion,diffusion_effluvium_stream_emanation_verbosity
effusive,expansive_enthusiastic_demonstrative_lavish_extravagant
effusively,offensively_evasive_evasives_unsafely_un safely
effusiveness,liveliness_elation_buoyancy_exuberance_gaiety
elan,animation_ardor_dash_flair_impetus
elate,exhilarate_gladden_encourage_cheer
elated,overjoyed_ecstatic_proud_delighted_excited
elatedly,willingly_freely_peacefully_lovingly_merrily
elation,ecstasy_rapture_joy_glee_euphoria
electrify,disturb_energize_invigorate_stir_excite
elegance,dignity_style_splendor_nobility_delicacy
elegant,chic_polished_stately_grand_simple
elegantly,handsomely_gracefully_splendidly_wonderfully_magnificently
elevate,uplift_heighten_raise_pyramid_uphold
elite,exclusive_noble_elect_top_pick
eloquence,vigor_poise_expressiveness_wit_passion
eloquent,outspoken_vivid_impassioned_forceful_persuasive
eloquently,elegantly_diligently_elemental_urgently_alimental
embolden,inspire_energize_invigorate_spur_reassure
eminence,renown_prominence_prestige_greatness_weight
eminent,renowned_preeminent_outstanding_famed_illustrious
empathize,sympathize_share_imagine_understand_comprehend
empathy,pity_appreciation_compassion_insight_rapport
empower,vest_entitle_grant_legitimize_allow
empowerment,permission_consent_blessing_assent_go-ahead
enchant,gratify_bewitch_fascinate_enthrall_captivate
enchanted,fascinated_delighted_happy_entranced_enraptured
enchanting,alluring_intriguing_charming_pleasant_ravishing
enchantingly,enchantings_unchangingly_enchantedly
encourage,restore_inspire_strengthen_boost_embolden
encouragement,faith_confidence_optimism_backing_assistance
encouraging,supportive_promising_hopeful_reassuring
encouragingly,favorably_hopefully
endear,captivate_cherish_engage_prize_win
endearing,charming_winning_adorable_dear_irresistible
endorse,sanction_affirm_okay_uphold_ratify
endorsed,sanctioned_supported_recommended_backed_settled
endorsement,confirmation_permission_backing_recommendation_commercial
endorses,sanction_affirm_okay_uphold_ratify
endorsing,sanction_affirm_okay_uphold_ratify
energetic,industrious_vigorous_spry_powerful_dynamic
energize,invigorate_empower_motivate_excite_reinforce
energy-efficient,unconversant_in conversant_in-conversant_un conversant_un-conversant
energy-saving,engraving_energizing_enclaving_energy giving_energy-giving
engaging,alluring_lovable_intriguing_likable_fascinating
engrossing,intriguing_gripping_fascinating_absorbing_riveting
enhance,upgrade_raise_augment_strengthen_intensify
enhanced,upgrade_raise_augment_strengthen_intensify
enhancement,improvement_increase_enrichment_intensification
enhances,upgrade_raise_augment_strengthen_intensify
enjoy,love_like_savor_appreciate_relish
enjoyable,gratifying_satisfying_pleasant_delightful_likable
enjoyably,happily_beautifully_perfectly_pleasantly_agreeably
enjoyed,love_like_savor_appreciate_relish
enjoying,love_like_savor_appreciate_relish
enjoyment,recreation_indulgence_thrill_luxury_joy
enjoys,love_like_savor_appreciate_relish
enlighten,educate_acquaint_edify_inform_uplift
enlightenment,insight_literacy_civilization_sophistication_wisdom
enliven,recreate_rejuvenate_invigorate_buoy_brighten
ennoble,exalt_dignify_praise
enough,suitable_ample_sufficient_full_adequate
enrapt,watchful_observant_aware_interested_conscientious
enrapture,bewitch_elate_fascinate_enthrall_beguile
enraptured,bewitch_elate_fascinate_enthrall_beguile
enrich,upgrade_develop_augment_supplement_refine
enrichment,enhancement_embellishment_endowment_improvement
enterprising,industrious_intrepid_daring_diligent_aspiring
entertain,satisfy_gratify_inspire_enthrall_relax
entertaining,provocative_fascinating_humorous_enjoyable_lively
entertains,satisfy_gratify_inspire_enthrall_relax
enthral,entrail_ethereal_enthralled_on trial_in the raw
enthrall,bewitch_fascinate_subdue_mesmerize_preoccupy
enthralled,bewitch_fascinate_subdue_mesmerize_preoccupy
enthuse,fondle_want_pet_gush_spoil
enthusiasm,emotion_eagerness_interest_zeal_joy
enthusiast,devotee_admirer_aficionado_fanatic_believer
enthusiastic,forceful_avid_warm_vigorous_fanatical
enthusiastically,vigorously_nimbly_eagerly_hastily_carefully
entice,coax_seduce_beguile_cajole_tempt
enticed,coax_seduce_beguile_cajole_tempt
enticing,alluring_inviting_fascinating_desirable_engaging
enticingly,untiringly_ensuingly_enduringly
entranced,bewitch_fascinate_enthrall_mesmerize_enrapture
entrancing,enticing_fascinating_delightful_rapturous_winsome
