2-faced,farced_facet_fazed_faces_face
ailing,diseased_sickly_ill_weak_feeble
ailment,malady_illness_syndrome_disease_ache
aimless,random_indiscriminate_haphazard_desultory_pointless
alarm,nervousness_dismay_anxiety_consternation_tension
alarmed,afraid_anxious_fearful_aroused
alarming,distressing_startling_dangerous_disquieting_disturbing
alarmingly,severely_desperately_seriously_recklessly_carelessly
alienate,disaffect_estrange_divide_turn off_separate
alienated,disaffected_alone
alienation,estrangement_indifference_separation_disaffection_division
allegation,accusation_claim_charge_plea_statement
allegations,accusation_claim_charge_plea_statement
allege,depose_plead_testify_cite_charge
allergic,susceptible_affected_sensitive_hypersensitive_averse to
allergies,susceptibility_sensitivity_aversion_vulnerability_hay fever
allergy,susceptibility_sensitivity_aversion_vulnerability_hay fever
aloof,haughty_standoffish_unsympathetic_distant_detached
altercation,flap_brawl_run-in_argument_wrangle
ambiguity,vagueness_doubt_uncertainty_equivocation_obscurity
ambiguous,enigmatic_questionable_unclear_uncertain_puzzling
ambivalence,doubt_hesitancy_uncertainty_hesitation_indecision
ambivalent,uncertain_equivocal_hesitant_doubtful_contradictory
ambush,deception_camouflage_shelter_concealment_trick
amiss,untoward_improper_awry_bad_confused
amputate,cut off_sever_excise_truncate_separate
anarchism,complication_disturbance_chaos_unrest_lawlessness
anarchist,revolutionary_agitator_terrorist_insurgent_insurrectionist
anarchistic,barbarous_chaotic_turbulent_violent_unruly
anarchy,turmoil_riot_confusion_hostility_chaos
anemic,sickly_feeble_frail_bloodless_infirm
anger,annoyance_acrimony_impatience_enmity_rage
angrily,furiously_madly_violently_fiercely_sharply
angriness,hungriness_angaries_anginas_tangerines_engines
angry,enraged_resentful_offended_irritable_impassioned
anguish,heartache_agony_sorrow_grief_suffering
animosity,antagonism_enmity_hostility_bitterness_resentment
annihilate,wipe out_exterminate_liquidate_obliterate_decimate
annihilation,liquidation_eradication_extermination_elimination_extinction
annoy,disturb_turn off_exasperate_perturb_peeve
annoyance,discontent_displeasure_exasperation_pique_frustration
annoyances,discontent_displeasure_exasperation_pique_frustration
annoyed,miffed_bothered_sore_irked
annoying,disturbing_troublesome_irritating_bothersome_vexatious
annoyingly,offensively_indecently_unwelcomely
annoys,disturb_turn off_exasperate_perturb_peeve
anomalous,atypical_unnatural_incongruous_abnormal_peculiar
anomaly,deviation_abnormality_oddity_aberration_rarity
antagonism,discord_enmity_hostility_disagreement_resistance
antagonist,foe_adversary_enemy_opposer_competitor
antagonistic,inimical_unfriendly_combative_hostile
antagonize,anger_offend_annoy_irritate_alienate
anti-,ant_ante_inti_antic_antis

anti-israeli,anti social_anti-social_anti serum_anti-serum_aunt sally


anti-semites,fanatic_chauvinist_sectarian_diehard_doctrinaire
anti-social,alienated_standoffish_introverted_ascetic_austere
anti-us,ants_antiques_antics_animus_antsy
anti-white,anti hero_anti-hero_antiquate_antiquity_ante date
antipathy,distaste_antagonism_enmity_hostility_rancor
antiquated,ancient_archaic_outmoded_out-of-date_old-fashioned
antithetical,contradictory_contrary_converse_counter_inverse
anxieties,nervousness_restlessness_apprehension_suffering_uncertainty
anxiety,nervousness_restlessness_apprehension_suffering_uncertainty
anxious,afraid_restless_fidgety_fearful_nervous
anxiously,warily_delicately_thoroughly_laboriously_gingerly
anxiousness,nervousness_disquietude_distress_apprehension_disquiet
apathetic,uninterested_callous_passive_stoic_laid-back
apathetically,hypothetically_apathetic_hypo thetically_hypo-thetically
apathy,lethargy_indifference_passiveness_dullness_coolness
apocalypse,annihilation_devastation_cataclysm_catastrophe_holocaust
apocalyptic,prophetic_ominous_oracular_predictive_revealing
apologist,pleader_polemicist_sophist
apologists,apologist_pleader_polemicist_sophist
appal,alarm_amaze_astound_awe_daunt
appall,dismay_dishearten_intimidate_frighten_alarm
appalled,alarm_amaze_astound_awe_daunt
appalling,dreadful_horrific_alarming_harrowing_astounding
appallingly,hopelessly_fearfully_shockingly
apprehension,foreboding_alarm_disquiet_mistrust_misgiving
apprehensions,foreboding_alarm_disquiet_mistrust_misgiving
apprehensive,jumpy_afraid_uncertain_concerned_suspicious
apprehensively,passionately_eagerly_frantically_furiously_madly
arbitrary,irrational_irresponsible_random_unreasonable_erratic
arcane,esoteric_impenetrable_cabalistic_mysterious_mystic
archaic,primitive_ancient_old-fashioned_obsolete_antiquated
arduous,uphill_onerous_trying_tough_grueling
arduously,difficultly_heavily_laboriously_burdensomely_exhaustingly
argumentative,opinionated_belligerent_combative_contentious_contrary
arrogance,chutzpah_pretension_disdain_hubris_aloofness
arrogant,haughty_presumptuous_imperious_pretentious_aloof
arrogantly,haughtily_insolently_loftily_superciliously_with one's nose in the air
ashamed,bashful_hesitant_distressed_apologetic_humble
asinine,absurd_daft_foolish_half-witted_idiotic
asininely,asininity_inanely_insanely_in sanely_in-sanely
asinininity,assonant_earsing into_is imminent_earsing in to_ascendant
askance,suspiciously_skeptically_askew_dubiously_obliquely
asperse,vilify_slur_smear_blacken_malign
aspersion,obloquy_animadversion_hit_knock_defamation
aspersions,obloquy_animadversion_hit_knock_defamation
assail,impugn_blast_revile_trash_berate
assassin,soldier_guerrilla_executioner_clipper_killer
assassinate,kill_execute_slaughter_slay_liquidate
assault,violation_onslaught_offensive_charge_rape
assult,assaulter_adult_auscult_assist_asset
astray,afield_awry_adrift_amiss_gone
asunder,disconnected_divided_loose_separated_split
atrocious,scandalous_rotten_heinous_lousy_barbaric
atrocities,horror_barbarity_atrociousness_enormity_wickedness
atrocity,horror_barbarity_atrociousness_enormity_wickedness
atrophy,degeneration_decline_downfall_downgrade_deterioration
attack,raid_intrusion_violation_onslaught_offensive
attacks,raid_intrusion_violation_onslaught_offensive
audacious,foolhardy_bold_resolute_adventurous_courageous
audaciously,valiantly_boldly_gamely_heroically_gallantly
audaciousness,temerity_spunk_grit_daredeviltry_adventurousness
audacity,guts_courage_boldness_fearlessness_nerve
audiciously,judiciously
austere,stringent_somber_forbidding_rigid_exacting
authoritarian,dictatorial_imperious_totalitarian_strict_rigid
autocrat,fascist_tyrant_despot_totalitarian_overlord
autocratic,domineering_imperious_arbitrary_dictatorial_tyrannical
avalanche,flood_barrage_landslide_torrent_deluge
avarice,frugality_parsimony_rapacity_penuriousness_avidity
avaricious,covetous_gluttonous_predatory_rapacious_selfish
avariciously,atrociously_ferociously_do voraciously
avenge,vindicate_chasten_punish_chastise_revenge
averse,hostile_hesitant_antagonistic_loath_unwilling
aversion,distaste_allergy_unwillingness_hostility_antagonism
aweful,woeful_woful_earful_easeful_artful
awful,depressing_dreadful_atrocious_horrific_distressing
awfully,wickedly_dreadfully_clumsily_inadequately_incompletely
awfulness,monstrosity_atrocity_rankness_egregiousness_flagrance
awkward,amateurish_rude_stiff_artless_bulky
awkwardness,ineptitude_ignorance_coarseness_greenness_rudeness
ax,fire_hatchet_sack_can_discharge
babble,gibberish_jargon_drivel_gab_ranting
back-logged,clogged_back lot_backlashed_backland
back-wood,backward_back door_back-door_backsword_back road
back-woods,neck woods_neck-woods_backwards_backswords_babe woods
backache,cache_backchat_backlash_backwash_backer
backaches,backchats_batches_coaches_backchat_catches
backaching,backing_batching_beaching_coaching_be aching
backbite,lie_traduce_spite_malign_denigrate
backbiting,lie_slander_abuse_spite_gossip
backward,rearward_back_aback_abaft_about
backwardness,retardation_idiocy_abnormality_slowness_mental retardation
backwood,backward_backsword_backdoor_backed_back door
backwoods,backcountry_outback_boondocks_frontier_isolation
bad,poor_dreadful_atrocious_cheap_unacceptable
badly,clumsily_awkwardly_poorly_carelessly_crudely
baffle,mystify_elude_stump_dumbfound_bewilder
baffled,mystify_elude_stump_dumbfound_bewilder
bafflement,perplexity_confusion_surprise_discombobulation_daze
baffling,enigmatic_mystifying_perplexing_unfathomable_incomprehensible
bait,enticement_lure_temptation_come-on_attraction
balk,hesitate_refuse_resist_recoil_turn down
banal,mundane_hackneyed_vapid_stupid_dumb
banalize,banality_finalize_penalize_banal_analyzer
bane,ruination_undoing_disaster_downfall_torment
banish,oust_relegate_eject_ostracize_get rid of
banishment,expulsion_deportation_expatriation_ouster_ostracism
bankrupt,insolvent_destitute_broke_lacking_lost
barbarian,wild_primitive_rough_philistine_barbaric
barbaric,uncivilized_cruel_inhuman_barbarous_brutal
barbarically,viciously_fiercely_savagely_in cold blood_meanly
barbarity,inhumanity_brutality_vulgarity_cruelty_viciousness
barbarous,vulgar_atrocious_rude_ruthless_inhuman
barbarously,viciously_fiercely_savagely_in cold blood_meanly
barren,desolate_sterile_arid_parched_impoverished
baseless,unwarranted_unsubstantiated_gratuitous_unjustified_groundless
bash,celebration_spree_wing-ding
bashed,smash_punch_clobber_whack_slam
bashful,reticent_sheepish_diffident_coy_confused
bashing,assault_attack_censure_charge_jumping
bastard,natural_irregular_phony_fake_imperfect
bastards,natural_irregular_phony_fake_imperfect
battered,clobber_mar_demolish_pummel_wreck
battering,clobber_mar_demolish_pummel_wreck
batty,nuts_wacky_deranged_foolish_insane
bearish,short_blunt_brief_direct_frank
beastly,abominable_animal_barbarous_base_bestial
bedlam,turmoil_din_disquietude_confusion_commotion
bedlamite,absurd_asinine_bonkers_cracked_crackers
befoul,defile_pollute_soil_malign_slander
beg,urge_beseech_pray_sue_implore
beggar,vagabond_panhandler_bum_supplicant_deadbeat
beggarly,abject_broke_destitute_down-and-out_inadequate
begging,craving_anxious_imploring_in need
beguile,mislead_deceive_entice_seduce_shave
belabor,rehash_pound_overwork_repeat_beat a dead horse
belated,overdue_tardy_delayed_remiss_behindhand
beleaguer,beset_bedevil_plague_annoy_gnaw
belie,negate_contradict_repudiate_contravene_deny
belittle,criticize_decry_squelch_discredit_deride
belittled,criticize_decry_squelch_discredit_deride
belittling,criticize_decry_squelch_discredit_deride
bellicose,antagonistic_combative_threatening_aggressive_argumentative
belligerence,aggressiveness_antagonism_pugnacity_truculence_bellicosity
belligerent,combative_contentious_hostile_quarrelsome_ornery
belligerently,belligerents_flagrantly
bemoan,mourn_deplore_regret_lament_bewail
bemoaning,mourn_deplore_regret_lament_bewail
bemused,distracted_absent_preoccupied_lost_abstracted
bent,bowed_looped_rounded_arched_crooked
berate,revile_castigate_scold_chide_upbraid
bereave,dispossess_oust_sadden_rob_leave
bereavement,sorrow_deprivation_misfortune_tribulation_distress
bereft,cut off_destitute_devoid_impoverished_minus
berserk,crazy_demented_deranged_insane_mad
beseech,implore_sue_invoke_pray_importune
beset,bedevil_perplex_besiege_beleaguer_surround
besiege,encircle_beleaguer_beset_blockade_trap
besmirch,defile_slander_blacken_dishonor_smear
bestial,barbarous_beastly_boorish_cruel_depraved
betray,abandon_mislead_forsake_deceive_seduce
betrayal,treachery_sellout_deception_dishonesty_treason
betrayals,treachery_sellout_deception_dishonesty_treason
betrayer,spy_deceiver_double-crosser_turncoat_fink
betraying,abandon_mislead_forsake_deceive_seduce
betrays,abandon_mislead_forsake_deceive_seduce
bewail,moan_regret_wail_repent_rue
beware,heed_shun_avoid_mind_notice
bewilder,mystify_confound_stump_perplex_rattle
bewildered,perplexed_stunned_puzzled_shocked_startled
bewildering,mystify_confound_stump_perplex_rattle
bewilderingly,be wildering_be-wildering
bewilderment,perplexity_confusion_surprise_discombobulation_daze
bewitch,dazzle_fascinate_enthrall_captivate_hypnotize
bias,intolerance_favoritism_tilt_bigotry_prejudice
biased,tendentious_partisan
biases,intolerance_favoritism_tilt_bigotry_prejudice
bicker,squabble_disagree_wrangle_quibble_spar
bickering,squabble_disagree_wrangle_quibble_spar
bid-rigging,be-draggling_bedogging_bridging_bragging_dragging
bigotries,discrimination_racism_bias_injustice_sexism
bigotry,discrimination_racism_bias_injustice_sexism
bitch,moan_criticize_grouse_gripe_carp
bitchy,bad-tempered_catty_despiteful_hateful_malevolent
biting,penetrating_bitter_harsh_bleak_crisp
bitingly,acerbically_acrimoniously_caustically_maliciously_sneeringly
bitter,sour_harsh_astringent_acid_tart
bitterly,hardly_reluctantly_slowly_sorely_keenly
bitterness,acidity_acridity_tartness_sharpness_acerbity
bizarre,unusual_ridiculous_freakish_ludicrous_grotesque
blab,divulge_disclose_blather_gab_reveal
blabber,babble_prattle_jabber_nonsense_gabble
blackmail,extortion_bribe_ransom_protection_tribute
blah,pedestrian_boring_humdrum_monotone_bland
blame,criticism_animadversion_reprehension_disparagement_accusation
blameworthy,at fault_blamable_censurable_culpable_guilty
bland,tedious_watery_insipid_boring_wishy-washy
blandish,urge_wheedle_allure_coax_entice
blaspheme,cuss_swear_revile_talk dirty
blasphemous,sacrilegious_profane_disrespectful_insulting_godless
blasphemy,heresy_desecration_sacrilege_swearing_execration
blasted,confounded_blessed_bloody_cursed_damn
blatant,outright_overt_flagrant_conspicuous_unabashed
blatantly,willingly_plainly_publicly_candidly_fully
blather,babble_chatter_nonsense_stir_prattle
bleak,desolate_austere_dreary_chilly_cold
bleakly,bleaker_clerkly_legally_sleekly_balky
bleakness,distress_dreariness_downheartedness_dole_mortification
bleed,trickle_weep_ooze_drain_run
bleeding,trickle_weep_ooze_drain_run
bleeds,trickle_weep_ooze_drain_run
blemish,freckle_blot_bruise_wart_blotch
blind,dark_eyeless_purblind_unseeing_unsighted
blinding,garish_blatant_blazing_shining_glowing
blindingly,blunderingly_blindly_blending_blendings_slantingly
blindside,bushwhack_catch unaware_hit unexpectedly_sucker-punch
blister,abscess_sore_welt_ulcer_cyst
blistering,scalding_scorching_searing_sizzling_torrid
bloated,distended_arrogant_pompous_stuffy_turgid
blockage,stoppage_jam_traverse_clog_bar
blockhead,bonehead_fool_screwball_jackass_dunce
bloodshed,murder_massacre_fighting_killing_bloodbath
bloodthirsty,ruthless_homicidal_barbaric_cruel_inhuman
bloody,bloodstained_gory_grisly_crimson_wounded
blotchy,mottled_spotted
blow,hurricane_gust_squall_gale_flurry
blunder,goof_fault_lapse_indiscretion_blooper
blundering,bumble_bungle_err_flounder_blow
blunders,goof_fault_lapse_indiscretion_blooper
blunt,dulled_rounded_dull_round_insensitive
blur,dim_obscure_darken_muddy_soften
bluring,blaring_luring_blurrings_burring_louring
blurred,dim_obscure_darken_muddy_soften
blurring,dim_obscure_darken_muddy_soften
blurry,fuzzy_cloudy_bleary_filmy_foggy
blurs,dim_obscure_darken_muddy_soften
blurt,exclaim_disclose_reveal_babble_leak
boastful,bombastic_pretentious_cocky_exultant_pompous
boggle,startle_flabbergast_astound_overwhelm_amaze
bogus,spurious_phony_fraudulent_fictitious_forged
boil,blister_abscess_carbuncle_tumor_sore
boiling,sizzling_scalding_baking_fiery_scorching
boisterous,uproarious_vociferous_rambunctious_rowdy_rollicking
bomb,explosive_rocket_mine_missile_projectile
bombard,hound_bomb_besiege_pester_blitz
bombardment,onslaught_blitz_assault_attack_bombing
bombastic,grandiose_rhapsodic_histrionic_aureate_balderdash
bondage,yoke_servitude_enslavement_serfdom_thralldom
bonkers,gaga_bats
bore,pain in the neck_wimp_pain_nag_yawn
bored,disinterested_fatigued_tired_dull
boredom,tedium_lethargy_apathy_fatigue_monotony
bores,pain in the neck_wimp_pain_nag_yawn
boring,tedious_mundane_monotonous_stodgy_humdrum
botch,bumble_screw up_err_miscalculate_flub
bother,aggravation_distress_strain_irritation_perplexity
bothered,distressed_troubled_agitated_disturbed_harried
bothering,pestering_botheration_disturbance_exasperation_harassment
bothers,aggravation_distress_strain_irritation_perplexity
bothersome,distressing_troublesome_disturbing_inconvenient_annoying
bowdlerize,expurgate_edit_redact
boycott,cut off_refuse_spurn_avoid_snub
braggart,know-it-all_egotist_windbag_boaster_blowhard
bragger,windbag_boaster_blowhard_brag_braggadocio
brainless,mindless_dumb_foolish_imbecile_senseless
brainwash,indoctrinate_educate_convert_influence_persuade
brash,impetuous_bold_rude_cocky_cheeky
brashly,rudely_pertly_impertinently_insolently_presumptuously
brashness,boldness_nerve_discourtesy_gall_overconfidence
brat,rascal_punk_devil_urchin_kid
bravado,bluster_grandiosity_blowing_boasting_swelling
brazen,impudent_bold_audacious_blatant_unabashed
brazenly,willingly_plainly_publicly_candidly_fully
brazenness,nerve_discourtesy_gall_overconfidence_presumptuousness
breach,rift_rupture_crack_fissure_opening
break,hole_crack_gap_rift_division
break-up,separation_hostility_disunity_schism_alienation
break-ups,separation_hostility_disunity_schism_alienation
breakdown,disruption_disintegration_mishap_failure_neurosis
breaking,crumbling_fracturing_splintering_collapsing_smashing
breaks,hole_crack_gap_rift_division
breakup,breakdown_divorce_dissolution_split_separation
breakups,breakdown_divorce_dissolution_split_separation
bribery,extortion_bribe_ransom_protection_tribute
brimstone,broomstick_breaks down_brim
bristle,fiber_point_spine_thorn_barb
brittle,breakable_crisp_frail_crumbling_crumbly
broke,penniless_insolvent_destitute_bankrupt_strapped
broken,injured_damaged_defective_crippled_mutilated
broken-hearted,broken hearts_broken heart_be brokenhearted
brood,offspring_progeny_family_clutch_breed
browbeat,bully_hector_intimidate_coerce_harass
bruise,blemish_swelling_black eye_wound_injury
bruised,mar_injure_blacken_wound_crush
bruises,blemish_swelling_black eye_wound_injury
bruising,mar_injure_blacken_wound_crush
brusque,terse_gruff_blunt_abrupt_bluff
brutal,savage_barbarous_harsh_rude_ruthless
brutalising,brutalize_bridling
brutalities,savagery_inhumanity_cruelty_barbarity_barbarism
brutality,savagery_inhumanity_cruelty_barbarity_barbarism
brutalize,dehumanize_demoralize_pervert_debase_debauch
brutalizing,dehumanize_demoralize_pervert_debase_debauch
brutally,viciously_fiercely_savagely_in cold blood_meanly
brute,animal_beastly_bestial_bodily_carnal
brutish,natural_bodily_wild_brute_beastly
bs,silliness_farce_craziness_folly_foolishness
buckle,clamp_clip_catch_harness_fastening
bug,microbe_virus_disease_infection_germ
bugging,annoy_harass_pester_irk_irritate
buggy,wagon_cart_vehicle_caboose_shay
bugs,microbe_virus_disease_infection_germ
bulkier,heavy_hulking_cumbersome_ponderous_unwieldy
bulkiness,peril_inconvenience_risk_danger_unmanageability
bulky,heavy_hulking_cumbersome_ponderous_unwieldy
bulkyness,sulkiness_blackness_bleakness_bulkinesses_silkiness
bull****,bulla_bully_bullae_buller_bill
bull----,bulla_bully_bullae_buller_bill
bullies,oppressor_rascal_ruffian_tough_tease
bullshit,bull_crap_rubbish_gibberish_hogwash
bullshyt,bullest_bullet_buckshot_blush_blusher
bully,oppressor_rascal_ruffian_tough_tease
bullying,imperious_despotic_hectoring_swaggering_blustering
bullyingly,bullyings_bellying_blazingly_bellying to_bellying up
bum,derelict_stiff_vagrant_drifter_tramp
bump,knock_crash_smack_jerk_rattle
bumped,knock_crash_smack_jerk_rattle
bumping,knock_crash_smack_jerk_rattle
bumpping,bumming_bumpkin_dumping_humping_jumping
bumps,knock_crash_smack_jerk_rattle
bumpy,uneven_rugged_jarring_jerky_choppy
bungle,flub_gum up_err_miscalculate_botch
bungler,clod_donkey_dunce_blunderer_butterfingers
bungling,amateurish_awkward_gauche_inapt_inept
bunk,rubbish_baloney_hogwash_garbage_claptrap
burden,load_duty_onus_hardship_strain
burdensome,onerous_taxing_demanding_oppressive_difficult
burdensomely,badly_vigorously_severely_awkwardly_carefully
burn,ignite_incinerate_light_torch_melt
burned,parched_burnt_scorched_charred_cauterized
burning,scorching_flaming_searing_hot_glowing
burns,ignite_incinerate_light_torch_melt
bust,front_chest_breast_bosom
busts,front_chest_breast_bosom
busybody,buttinsky_rubberneck_meddler_snoop_eavesdropper
butcher,slayer_slaughterer_boner_skinner_processor
butchery,bloodbath_carnage_slaughterhouse_slaughter_killing
buzzing,reverberate_hum_whisper_bumble_sibilate
byzantine,complicated_convoluted_detailed_devious_difficult
cackle,giggle_guffaw_quack_chortle_cluck
calamities,hardship_collapse_scourge_misfortune_mishap
calamitous,lamentable_grievous_unfortunate_catastrophic_regrettable
calamitously,calamities_commodiously_clumsily
calamity,hardship_collapse_scourge_misfortune_mishap
callous,insensitive_unsympathetic_heartless_careless_cold-blooded
calumniate,revile_scandalize_slur_smear_blacken
calumniation,obloquy_aspersion_defamation_malice_denigration
calumnies,defamation_lie
calumnious,defamatory_injurious_libelous_scandalous_calumniatory
calumniously,luminously_voluminously
calumny,defamation_lie
cancer,tumor_corruption_malignancy_disease_sickness
cancerous,destructive_harmful_mortal_carcinogenic
cannibal,savage_ogre_primitive_brute_aborigine
cannibalize,dismantle_disassemble_strip for repair
capitulate,cede_defer_concede_bow_relent
capricious,whimsical_wayward_quirky_unreasonable_helter-skelter
capriciously,carelessly_unevenly_eccentrically
capriciousness,peculiarity_idiosyncrasy_foible_quirk_abnormality
capsize,invert_upset_roll_keel over_turn over
careless,indifferent_indiscreet_inaccurate_wasteful_hasty
carelessness,nonchalance_inattention_negligence_sloppiness_neglect
caricature,satire_cartoon_farce_parody_libel
carnage,warfare_havoc_killing_slaughter_crime
carp,grumble_quibble_cavil_knock_criticize
cartoonish,cartoonist_cartoon_cartooned

castigate,penalize_criticize_pummel_chastise_excoriate
castrated,emasculate_altered_fixed_effeminate_impotent
casualty,blow_calamity_catastrophe_mishap_disaster
cataclysm,upheaval_catastrophe_deluge_calamity_debacle
cataclysmal,calamitous_cataclysmic_catastrophic_devastating_disastrous
cataclysmic,catastrophic_calamitous_disastrous_tragic_ruinous
cataclysmically,cataclysmic
catastrophe,devastation_accident_crash_disaster_emergency
catastrophes,devastation_accident_crash_disaster_emergency
catastrophic,calamitous_cataclysmic_disastrous_tragic_ruinous
catastrophically,catastrophic
catastrophies,catastrophic_catastrophal
caustic,abrasive_acerbic_pungent_biting_mordant
caustically,acerbically_acrimoniously_bitingly_maliciously_sneeringly
cautionary,admonishing_admonitory_advisory_warning_cautioning
cave,cavern_grotto_cavity_pothole_den
censure,condemnation_rebuke_reprimand_obloquy_castigation
chafe,irritate_ruffle_peel_inflame_scratch
chaff,refuse_shell_remains_crust_shard
chagrin,dismay_embarrassment_irritation_disquiet_annoyance
challenging,try_claim_confront_defy_impose
chaos,turmoil_discord_tumult_disarray_pandemonium
chaotic,lawless_turbulent_helter-skelter_tumultuous_disorganized
chasten,penalize_rebuke_subdue_soften_curb
chastise,punish_censure_berate_upbraid_castigate
chastisement,criticism_discipline_castigation_penalty_rebuke
chatter,chitchat_blather_babble_chat_gossip
chatterbox,blabbermouth_windbag_clack_gossip_busybody
cheap,low-cost_reasonable_low-priced_competitive_economical
cheapen,mar_debase_minimize_denigrate_demean
cheaply,inexpensively_reasonably_poorly_cheap_moderately
cheat,hypocrite_trickster_impostor_rascal_con artist
cheated,burned_gypped_conned_swindled_finessed
cheater,swindler_trickster_deceiver_defrauder_victimizer
cheating,dishonesty_deception_defrauding_deceiving
cheats,hypocrite_trickster_impostor_rascal_con artist
checkered,motley_spotted_diversified_variegated_mutable
cheerless,austere_black_bleak_blue_dark
cheesy,inferior_poor_shabby_sleazy_trashy
chide,rebuke_scold_censure_berate_blame
childish,naive_foolish_youthful_childlike_adolescent
chill,freezing_chilly_icy_frigid_biting
chilly,crisp_brisk_freezing_breezy_icy
chintzy,cheap_frowzy_shabby_sleazy_tacky
choke,clog_congest_drown_suffocate_kill
choleric,irascible_peevish_quick-tempered
choppy,rough_uneven_inclement_violent_wild
chore,duty_assignment_workout_errand_housework
chronic,lifelong_continuous_continuing_habitual_recurrent
chunky,chubby_stout_stocky_beefy_dumpy
clamor,noise_upheaval_agitation_tumult_ruckus
clamorous,vociferous_uproarious_importunate_loud
clash,rift_crash_riot_melee_brawl
