a+,ah_ai_ac_ad_af_
angelic,virtuous_celestial_saintly_radiant_otherworldly_
apotheosis,elevation_idolization_deification_immortalization_
appeal,claim_bid_suit_question_overture_
appealing,engaging_tempting_emanate_pleading_entrancing_
applaud,encourage_laud_commend_cheer_hail_
appreciable,observable_discernible_noticeable_perceptible_definite_
appreciate,enjoy_welcome_acknowledge_be appreciative_be indebted_
appreciated,enjoy_welcome_acknowledge_be appreciative_be indebted_
appreciates,enjoy_welcome_acknowledge_be appreciative_be indebted_
appreciative,responsive_grateful_beholden_indebted_obliged_
appreciatively,warmly_passionately_respectfully_zealously_earnestly_
appropriate,relevant_useful_convenient_applicable_apt_
approval,sanction_confirmation_license_permission_mandate_
approve,favor_accept_admire_acclaim_handle_
ardent,avid_zealous_impassioned_vehement_intense_
ardently,vigorously_nimbly_eagerly_hastily_carefully_
ardor,eagerness_zeal_earnestness_intensity_passion_
articulate,fluent_expressive_coherent_eloquent_clear_
aspiration,desire_longing_eagerness_wish_aim_
aspirations,desire_longing_eagerness_wish_aim_
aspire,pursue_crave_yearn_strive_desire_
assurance,word_pledge_support_assertion_affirmation_
assurances,word_pledge_support_assertion_affirmation_
assure,satisfy_encourage_persuade_reassure_sell_
assuredly,undoubtedly_absolutely_certainly_definitely_of course_
assuring,satisfy_encourage_persuade_reassure_sell_
astonish,dumbfound_bewilder_overwhelm_flabbergast_shock_
astonished,dumbfound_bewilder_overwhelm_flabbergast_shock_
astonishing,startling_breathtaking_impressive_spectacular_striking_
astonishingly,decidedly_particularly_absolutely_awfully_profoundly_
astonishment,bewilderment_consternation_confusion_amazement_awe_
astound,dumbfound_bewilder_overwhelm_stun_shock_
astounded,dumbfound_bewilder_overwhelm_stun_shock_
astounding,startling_breathtaking_surprising_astonishing_mind-boggling_
astoundingly,astonishingly_ostending_unstintingly_outstandingly_un stintingly_
astutely,intelligently_shrewdly_wittily_sensibly_
attentive,watchful_observant_aware_interested_conscientious_
attraction,attractiveness_allure_appeal_interest_enthrallment_
attractive,beautiful_alluring_glamorous_lovely_inviting_
attractively,handsomely_gracefully_splendidly_wonderfully_magnificently_
attune,accommodate_accustom_adapt_conform_accord_
audible,resounding_discernible_distinct_perceptible_detectable_
audibly,loudly_clearly_distinctly_plainly_intelligibly_
auspicious,promising_opportune_advantageous_propitious_felicitous_
authentic,credible_authoritative_accurate_convincing_trustworthy_
authoritative,definitive_truthful_accurate_scholarly_trustworthy_
autonomous,self-governing_sovereign_free_uncontrolled_self-determining_
available,accessible_usable_convenient_vacant_possible_
aver,contend_claim_predicate_affirm_verify_
avid,devoted_impatient_thirsty_fanatical_eager_
avidly,passionately_violently_excitedly_madly_overzealously_
award,trophy_gold_gift_grant_presentation_
awarded,reward_grant_distribute_confer_hand out_
awards,trophy_gold_gift_grant_presentation_
awe,admiration_dread_apprehension_horror_shock_
awed,dazzle_intimidate_frighten_alarm_stupefy_
awesome,beautiful_breathtaking_intimidating_imposing_magnificent_
awesomely,are seemly_am seemly_unseemly_was seemly_art seemly_
awesomeness,awesome_as means_ways means_ways-means_examinees_
awestruck,stunned_agog_shocked_anxious_afraid_
awsome,assume_some_athome_as one_ism_
backbone,determination_heart_spunk_resolve_grit_
balanced,equitable_fair_uniform_offset_equivalent_
bargain,pact_negotiation_transaction_deal_contract_
beauteous,attractive_bonny_comely_good-looking_gorgeous_
beautiful,alluring_cute_fascinating_magnificent_marvelous_
beautifullly,beautiful_beatifically_beautify_bountifully_dutifully_
beautifully,handsomely_gracefully_splendidly_wonderfully_magnificently_
beautify,bedeck_decorate_adorn_trim_deck_
beauty,style_delicacy_artistry_elegance_refinement_
beckon,attract_invite_entice_tempt_pull_
beckoned,attract_invite_entice_tempt_pull_
beckoning,attract_invite_entice_tempt_pull_
beckons,attract_invite_entice_tempt_pull_
believable,credible_satisfying_persuasive_convincing_plausible_
believeable,credible_trustworthy_satisfactory_satisfying_impressive_
beloved,loved_dear_favorite_respected_popular_
benefactor,patron_promoter_philanthropist_backer_contributor_
beneficent,altruistic_benevolent_benign_big-hearted_charitable_
beneficial,profitable_good_useful_helpful_valuable_
beneficially,kindly_effectively_profitably_advantageously_constructively_
beneficiary,heir_recipient_possessor_receiver_successor_
benefit,prosperity_use_help_profit_assistance_
benefits,prosperity_use_help_profit_assistance_
benevolence,compassion_generosity_altruism_kindness_gift_
benevolent,generous_philanthropic_compassionate_benign_humane_
benifits,be fits_be-fits_benefit_benets_snifts_
best,perfect_finest_tough_outstanding_leading_
best-known,burst in on_be made known_be stuck on_bursts in on_be taken in_

best-selling,hit_number one_smash_chart-topping_very popular_
better,superior_improved_exceptional_sophisticated_preferred_
better-known,be tokening_be-tokening_be keen on_bedgown_butting on_

beutifully,beautiful_bountifully_dutifully_
blameless,above suspicion_clean_clear_exemplary_faultless_
bless,anoint_consecrate_baptize_ordain_thank_
blessing,dedication_grace_commendation_thanksgiving_consecration_
bliss,joy_paradise_happiness_euphoria_heaven_
blissful,heavenly_enchanted_dreamy_joyous_beatific_
blissfully,willingly_warmly_cordially_freely_heartily_
blithe,sprightly_jaunty_jovial_carefree_lighthearted_
blockbuster,ash can_depth bomb_
bloom,blossom_flower_blossoming_opening_efflorescence_
blossom,bloom_efflorescence_spike_floret_posy_
bolster,help_buttress_strengthen_support_cushion_
bonny,blithe_buxom_cheerful_chubby_comely_
bonus,premium_prize_gift_perk_gratuity_
bonuses,premium_prize_gift_perk_gratuity_
boom,explosion_smash_wham_burst_roar_
booming,growing_thriving_roaring_prosperous_profitable_
boost,breakthrough_upgrade_advance_addition_hike_
boundless,untold_tremendous_inexhaustible_limitless_unlimited_
bountiful,plentiful_lavish_magnanimous_ample_copious_
brainiest,brilliant_bright_clever_intellectual_sapient_
brainy,brilliant_bright_clever_intellectual_sapient_
brand-new,fresh_pristine_spick-and-span_unused_brand spanking new_
brave,gallant_foolhardy_daring_confident_fearless_
bravery,fearlessness_spunk_grit_daring_mettle_
bravo,devotion_glory_acclaim_applause_plaudit_
breakthrough,development_hike_improvement_leap_gain_
breakthroughs,development_hike_improvement_leap_gain_
breathlessness,ruthlessness_brainlessness_truthlessness_breathless_
breathtaking,exciting_thrilling_impressive_magnificent_amazing_

breeze,current_gust_whiff_breath_air_
bright,golden_glistening_vivid_brilliant_shimmering_
brighten,enliven_lighten_illuminate_clear up_illumine_
brighter,golden_glistening_vivid_brilliant_shimmering_
brightest,golden_glistening_vivid_brilliant_shimmering_
brilliance,talent_intelligence_wisdom_excellence_inventiveness_
brilliances,talent_intelligence_wisdom_excellence_inventiveness_
brilliant,vivid_radiant_dazzling_sparkling_bright_
brilliantly,brightly_blazingly_radiantly_shiningly_
brisk,vigorous_energetic_spry_speedy_lively_
brotherly,affectionate_cordial_neighborly_fraternal_selfless_
bullish,vigorous_energetic_convincing_vehement_persuasive_
buoyant,resilient_bouncy_afloat_airy_floating_
cajole,wheedle_entice_seduce_tantalize_dupe_
calm,serene_slow_smooth_soothing_mild_
calming,sedative_ataractic_
calmness,tranquility_calm_composure_patience_peace_
capability,wherewithal_capacity_power_facility_means_
capable,experienced_suited_talented_efficient_gifted_
capably,competently_adroitly_
captivate,grip_gratify_dazzle_bewitch_fascinate_
captivating,grip_gratify_dazzle_bewitch_fascinate_
carefree,cheerful_breezy_happy-go-lucky_jovial_cheery_
cashback,cast back_cashable_call back_came back_hatchback_
cashbacks,cashboxes_call backs_hatchbacks_gasbags_come backs_
catchy,haunting_memorable_fetching_popular_having a good hook_
celebrate,perform_laud_proclaim_observe_praise_
celebrated,acclaimed_big_eminent_famed_glorious_
celebration,festivity_ceremony_observance_festival_triumph_
celebratory,memorial_observing_commemoratory_dedicatory_in memory_
champ,chomp_gnaw_gnash_bite_munch_
champion,unbeaten_undefeated_super_prime_superior_
charisma,glamour_magnetism_allure_pizzazz_dazzle_
charismatic,appealing_alluring_hypnotic_larger than life_magnetic_
charitable,altruistic_humanitarian_philanthropic_accommodating_benign_
charm,magic_beauty_glamour_charisma_appeal_
charming,alluring_pleasant_glamorous_likable_amiable_
charmingly,appropriately_cheerfully_favorably_happily_kindly_
chaste,subdued_platonic_virginal_celibate_unblemished_
cheaper,low-cost_reasonable_low-priced_competitive_economical_
cheapest,low-cost_reasonable_low-priced_competitive_economical_
cheer,delight_joy_glee_encouragement_optimism_
cheerful,peppy_bright_effervescent_buoyant_sanguine_
cheery,pleasant_bright_lively_happy_sprightly_
cherish,preserve_love_defend_harbor_treasure_
cherished,preserve_love_defend_harbor_treasure_
cherub,baby_seraph_beautiful infant_
chic,exclusive_swank_modern_elegant_trendy_
chivalrous,benevolent_big_bold_brave_considerate_
chivalry,courtesy_courage_fairness_valiance_courtliness_
civility,decorum_propriety_courtesy_respect_amenity_
civilize,ennoble_acquaint_sophisticate_tame_humanize_
clarity,simplicity_brightness_certainty_precision_purity_
classic,simple_usual_typical_vintage_representative_
classy,elegant_fashionable_high-class_posh_chic_
clean,hygienic_unblemished_simple_clear_tidy_
cleaner,cleanser_soap_disinfectant_cleaning agent_
cleanest,hygienic_unblemished_simple_clear_tidy_
cleanliness,freshness_purity_sanitation_neatness_tidiness_
cleanly,clean_spotless_tidy_
clear,sunny_fair_light_clarion_crystal_
clear-cut,unambiguous_precise_definitive_straightforward_categorical_
cleared,unloaded_empty_cleaned_cleared away_
clearer,sunny_fair_light_clarion_crystal_
clearly,certainly_plainly_undoubtedly_obviously_openly_
clears,sunny_fair_light_clarion_crystal_
clever,adept_adroit_alert_astute_brainy_
cleverly,intelligently_shrewdly_wittily_astutely_sensibly_
cohere,consolidate_cleave_glue_join_associate_
coherence,continuity_unity_rationality_consistency_integrity_
coherent,rational_intelligible_lucid_logical_orderly_
cohesive,united_close-knit_tenacious_adhesive_connected_
colorful,gaudy_vivid_splashy_vibrant_multicolored_
comely,good-looking_winsome_attractive_becoming_blooming_
comfort,amenity_contentment_enjoyment_satisfaction_convenience_
comfortable,complacent_enjoyable_serene_satisfying_useful_
comfortably,easily_adequately_well_agreeably_amply_
comforting,soothing_encouraging_refreshing_freeing_softening_
comfy,snug_soft_homey_
commend,applaud_hail_laud_endorse_approve_
commendable,exemplary_meritorious_excellent_admirable_creditable_
commendably,strongly_closely_smoothly_nicely_fully_
commitment,pledge_engagement_responsibility_need_promise_
commodious,convenient_big_capacious_comfortable_expansive_
compact,solid_tight_firm_crowded_pressed_
compactly,compactor_compacted_compactors_completely_
compassion,mercy_empathy_tenderness_sorrow_benevolence_
compassionate,sympathetic_benevolent_charitable_warm_merciful_
compatible,adaptable_consistent_suitable_appropriate_accordant_
competitive,aggressive_ambitious_cutthroat_antagonistic_combative_
complement,accompaniment_consummation_rest_supplement_enhancement_
complementary,integral_reciprocal_equivalent_correspondent_parallel_
complemented,integrate_achieve_perfect_finish_conclude_
complements,accompaniment_consummation_rest_supplement_enhancement_
compliant,docile_flexible_willing_easy_manageable_
compliment,admiration_applause_commendation_homage_ovation_
complimentary,appreciative_congratulatory_respectful_polite_courtly_
comprehensive,full_complete_broad_global_overall_
conciliate,pacify_satisfy_appease_win over_
conciliatory,calm_civil_disarming_pacific_peaceable_
concise,terse_pithy_succinct_brief_compact_
confidence,certainty_poise_morale_courage_determination_
confident,self-assured_sure_bold_positive_sanguine_
congenial,sympathetic_cordial_genial_harmonious_pleasant_
congratulate,applaud_laud_praise_salute_felicitate_
congratulation,applause_commendation_salute_adulation_praise_
congratulations,hail_compliments_felicitations_greetings_best wishes_
congratulatory,complimentary_flattering_laudatory_celebratory_
conscientious,meticulous_fastidious_painstaking_diligent_fussy_
considerate,sympathetic_generous_accommodating_amiable_mindful_
consistent,steady_persistent_logical_dependable_rational_
consistently,regularly_routinely_always_constantly_normally_
constructive,productive_useful_effective_positive_valuable_
consummate,superlative_gifted_polished_talented_skilled_
contentment,complacency_satisfaction_fulfillment_pleasure_gratification_
continuity,stability_constancy_continuum_durability_survival_
contrasty,contrasts_contras_contrasted_contract_contralto_
contribution,grant_addition_improvement_increase_donation_
convenience,amenity_advantage_service_facility_enjoyment_
convenient,available_timely_beneficial_good_helpful_
conveniently,regularly_handily_smoothly_freely_well_
convience,convincer_connivance_conscience_convenes_convinced_
convienient,conveniently_convenience_confinement_continent_contingent_
convient,convened_convenient_confident_confined_convene_
convincing,credible_trustworthy_satisfactory_satisfying_impressive_
convincingly,certainly_definitely_permanently_completely_lastly_
cool,chilly_refreshing_frosty_frigid_arctic_
coolest,chilly_refreshing_frosty_frigid_arctic_
cooperative,united_concerted_reciprocal_harmonious_collective_
cooperatively,simultaneously_mutually_together_accordingly_agreeably_
cornerstone,mainstay_foundation_pillar_keystone_essential_
correct,precise_perfect_strict_appropriate_legitimate_
correctly,justly_perfectly_rightly_nicely_accurately_
cost-effective,practical_profitable_worthwhile_
cost-saving,most serving_
counter-attack,retribution_revenge_reprisal_counterblow_counteraction_
counter-attacks,retribution_revenge_reprisal_counterblow_counteraction_
courage,fearlessness_spunk_grit_daring_endurance_
courageous,tenacious_gallant_tough_daring_resolute_
courageously,boldly_eagerly_enthusiastically_fearlessly_dauntlessly_
courageousness,fearlessness_heart_valiancy_boldness_daring_
courteous,respectful_civilized_civil_soft-spoken_polite_
courtly,gallant_aristocratic_stately_polite_elegant_
covenant,compact_convention_stipulation_agreement_transaction_
cozy,snug_cushy_comfortable_comfy_intimate_
creative,ingenious_inventive_gifted_visionary_productive_
credence,faith_confidence_belief_admission_dependence_
credible,trustworthy_satisfactory_satisfying_reasonable_solid_
crisp,crusty_fresh_crumbly_plump_firm_
crisper,crusty_fresh_crumbly_plump_firm_
cure,medication_recovery_fix_drug_quick fix_
cure-all,magic bullet_elixir_nostrum_catholicon_magic potion_
cushy,comfy_agreeable_easy_pleasant_plum_
cute,beautiful_charming_pleasant_delightful_pretty_
cuteness,acuteness_muteness_quietness_crudeness_cutins_
danke,thanks_gracias_merci_much obliged_
danken,danking_darken_danked_dankes_dank_
daring,foolhardy_bold_fearless_audacious_impulsive_
daringly,severely_desperately_seriously_recklessly_carelessly_
darling,baby_lamb_love_sweetie_angel_
dashing,fearless_debonair_stylish_dapper_plucky_
dauntless,brave_daring_doughty_fearless_gallant_
dawn,daylight_daybreak_dawning_morning_light_
dazzle,blind_fascinate_overwhelm_impress_excite_
dazzled,blind_fascinate_overwhelm_impress_excite_
dazzling,sensational_splendid_brilliant_bright_sparkling_
dead-cheap,lead ship_detached_de taches_de-taches_detach_
dead-on,precise_accurate_definite_direct_exact_
decency,dignity_modesty_honesty_good manners_decorum_
decent,noble_good_polite_honest_trustworthy_
decisive,definitive_influential_resolute_forceful_crucial_
decisiveness,firmness_willpower_resoluteness_resolve_determination_
dedicated,devoted_zealous_enthusiastic_faithful_committed_
defeat,blow_loss_massacre_collapse_embarrassment_
defeated,overcome_conquered_crushed_
defeating,crush_beat_rout_upset_overpower_
defeats,blow_loss_massacre_collapse_embarrassment_
defender,protector_supporter_sponsor_guardian_
deference,yielding_obeisance_submission_condescension_acquiescence_
deft,ingenious_proficient_nimble_skillful_adroit_
deginified,signified_disunified_magnified_dis unified_dis-unified_
delectable,enticing_satisfying_yummy_palatable_heavenly_
delicacy,tenderness_subtlety_lightness_elegance_fragility_
delicate,rare_gentle_fragile_mild_elegant_
delicious,enjoyable_yummy_tempting_enticing_delectable_
delight,satisfaction_joy_glee_contentment_pleasure_
delighted,elated_overjoyed_ecstatic_charmed_pleased_
delightful,beautiful_enjoyable_satisfying_alluring_refreshing_
delightfully,handsomely_gracefully_splendidly_wonderfully_magnificently_
delightfulness,etiquette_amiability_gentility_suavity_agreeableness_
dependable,sturdy_steady_trustworthy_loyal_staunch_
dependably,warily_delicately_thoroughly_laboriously_gingerly_
deservedly,appropriately_correctly_suitably_on time_rightfully_
deserving,commendable_fitting_admirable_due_estimable_
desirable,beautiful_enticing_fascinating_adorable_alluring_
desiring,desirous_needing_
desirous,wishful_acquisitive_ambitious_amorous_anxious_
destiny,prospect_circumstance_intention_future_objective_
detachable,mobile_ambulatory_portable_adaptable_adjustable_
devout,faithful_zealous_sincere_fervent_ardent_
dexterous,able_active_acute_adept_adroit_
dexterously,regularly_handily_smoothly_freely_well_
dextrous,glib_sly_deft_skillful_smooth_
dignified,noble_stately_solemn_magnificent_somber_
dignify,exalt_magnify_advance_ennoble_raise_
dignity,status_self-respect_respectability_decorum_greatness_
diligence,vigor_quickness_intensity_earnestness_alertness_
diligent,industrious_attentive_earnest_indefatigable_persistent_
diligently,vigorously_nimbly_eagerly_hastily_carefully_
diplomatic,gracious_polite_conciliatory_strategic_adept_
dirt-cheap,reasonable_low-cost_cheap_low-priced_modest_
distinction,division_perception_quality_characteristic_sensitivity_
distinctive,singular_peculiar_offbeat_extraordinary_special_
distinguished,notable_noble_renowned_venerable_honored_
diversified,diverse_varied_mixed_manifold_variegated_
divine,mystical_spiritual_celestial_angelic_holy_
divinely,handsomely_gracefully_splendidly_wonderfully_magnificently_
dominate,control_run_lead_overshadow_manage_
dominated,control_run_lead_overshadow_manage_
dominates,control_run_lead_overshadow_manage_
dote,fawn_cherish_praise_nurture_flatter_
dotingly,warmly_passionately_respectfully_zealously_earnestly_
doubtless,presumably_absolutely_unquestionably_surely_undoubtedly_
dreamland,slumber_utopia_Shangri-la_seventh heaven_never-never land_
dumbfounded,stunned_stumped_overwhelmed_confounded_shocked_
dumbfounding,bewilder_stun_nonplus_boggle_confound_
dummy-proof,dis prove_dis-prove_improv_improve_disimprove_
durable,tenacious_reliable_permanent_dependable_enduring_
dynamic,productive_vigorous_energetic_effective_influential_
eager,restless_thirsty_hungry_greedy_impatient_
eagerly,willingly_cordially_vigorously_sincerely_promptly_
eagerness,longing_impatience_hunger_zeal_ardor_
earnest,diligent_impassioned_sincere_fervent_urgent_
earnestly,sincerely_seriously_soberly_thoughtfully_
earnestness,devotion_solemnity_zeal_ardor_intensity_
ease,content_calm_comfort_satisfaction_calmness_
eased,mitigate_moderate_relax_speed_relieve_
eases,content_calm_comfort_satisfaction_calmness_
easier,accessible_straightforward_simple_clear_smooth_
easiest,accessible_straightforward_simple_clear_smooth_
easiness,nonchalance_ease_indifference_ability_facility_
easing,mitigate_moderate_relax_speed_relieve_
easy,accessible_straightforward_simple_clear_smooth_
easy-to-use,acetose_acetous_easy to use_easy use_easy course_
easygoing,happy-go-lucky_serene_self-possessed_offhand_relaxed_
ebullience,liveliness_elation_buoyancy_exuberance_gaiety_
ebullient,brash_elated_buoyant_agitated_effusive_
ebulliently,opulently_bluntly_obediently_turbulently_blindly_
ecenomical,inimical_is economical_
economical,efficient_cost-effective_prudent_practical_avaricious_
ecstasies,rapture_elation_euphoria_happiness_joy_
ecstasy,rapture_elation_euphoria_happiness_joy_
ecstatic,elated_crazy_overjoyed_delirious_enthusiastic_
ecstatically,willingly_warmly_cordially_freely_heartily_
edify,uplift_enlighten_teach_educate_improve_
educated,knowledgeable_literate_skilled_informed_accomplished_
effective,useful_impressive_efficient_sufficient_powerful_
effectively,finally_forcefully_completely_definitely_energetically_
effectiveness,potency_success_efficacy_effect_validity_
effectual,effective_efficacious_adequate_binding_capable_
efficacious,effectual_effective_active_adequate_capable_
efficient,profitable_productive_useful_energetic_able_
efficiently,regularly_handily_smoothly_freely_well_
effortless,uncomplicated_offhand_duck soup_facile_flowing_
effortlessly,regularly_handily_smoothly_freely_well_
effusion,diffusion_effluvium_stream_emanation_verbosity_
effusive,expansive_enthusiastic_demonstrative_lavish_extravagant_
effusively,offensively_evasive_evasives_unsafely_un safely_
effusiveness,liveliness_elation_buoyancy_exuberance_gaiety_
elan,animation_ardor_dash_flair_impetus_
elate,exhilarate_gladden_encourage_cheer_
elated,overjoyed_ecstatic_proud_delighted_excited_
elatedly,willingly_freely_peacefully_lovingly_merrily_
elation,ecstasy_rapture_joy_glee_euphoria_
electrify,disturb_energize_invigorate_stir_excite_
elegance,dignity_style_splendor_nobility_delicacy_
elegant,chic_polished_stately_grand_simple_
elegantly,handsomely_gracefully_splendidly_wonderfully_magnificently_
elevate,uplift_heighten_raise_pyramid_uphold_
elite,exclusive_noble_elect_top_pick_
eloquence,vigor_poise_expressiveness_wit_passion_
eloquent,outspoken_vivid_impassioned_forceful_persuasive_
eloquently,elegantly_diligently_elemental_urgently_alimental_
embolden,inspire_energize_invigorate_spur_reassure_
eminence,renown_prominence_prestige_greatness_weight_
eminent,renowned_preeminent_outstanding_famed_illustrious_
empathize,sympathize_share_imagine_understand_comprehend_
empathy,pity_appreciation_compassion_insight_rapport_
empower,vest_entitle_grant_legitimize_allow_
empowerment,permission_consent_blessing_assent_go-ahead_
enchant,gratify_bewitch_fascinate_enthrall_captivate_
enchanted,fascinated_delighted_happy_entranced_enraptured_
enchanting,alluring_intriguing_charming_pleasant_ravishing_
enchantingly,enchantings_unchangingly_enchantedly_
encourage,restore_inspire_strengthen_boost_embolden_
encouragement,faith_confidence_optimism_backing_assistance_
encouraging,supportive_promising_hopeful_reassuring_
encouragingly,favorably_hopefully_
endear,captivate_cherish_engage_prize_win_
endearing,charming_winning_adorable_dear_irresistible_
endorse,sanction_affirm_okay_uphold_ratify_
endorsed,sanctioned_supported_recommended_backed_settled_
endorsement,confirmation_permission_backing_recommendation_commercial_
endorses,sanction_affirm_okay_uphold_ratify_
endorsing,sanction_affirm_okay_uphold_ratify_
energetic,industrious_vigorous_spry_powerful_dynamic_
energize,invigorate_empower_motivate_excite_reinforce_
energy-efficient,unconversant_in conversant_in-conversant_un conversant_un-conversant_
energy-saving,engraving_energizing_enclaving_energy giving_energy-giving_
engaging,alluring_lovable_intriguing_likable_fascinating_
engrossing,intriguing_gripping_fascinating_absorbing_riveting_
enhance,upgrade_raise_augment_strengthen_intensify_
enhanced,upgrade_raise_augment_strengthen_intensify_
enhancement,improvement_increase_enrichment_intensification_
enhances,upgrade_raise_augment_strengthen_intensify_
enjoy,love_like_savor_appreciate_relish_
enjoyable,gratifying_satisfying_pleasant_delightful_likable_
enjoyably,happily_beautifully_perfectly_pleasantly_agreeably_
enjoyed,love_like_savor_appreciate_relish_
enjoying,love_like_savor_appreciate_relish_
enjoyment,recreation_indulgence_thrill_luxury_joy_
enjoys,love_like_savor_appreciate_relish_
enlighten,educate_acquaint_edify_inform_uplift_
enlightenment,insight_literacy_civilization_sophistication_wisdom_
enliven,recreate_rejuvenate_invigorate_buoy_brighten_
ennoble,exalt_dignify_praise_
enough,suitable_ample_sufficient_full_adequate_
enrapt,watchful_observant_aware_interested_conscientious_
